"1","Transacciones"," <li><a href=""transactions"">Transacciones</a></li>",,"transactions","2","9","1","2017-05-23 14:01:11","0000-00-00 00:00:00"
"2","Cuentas"," <li><a href=""accounts"">Cuentas</a></li>",,"accounts","2","10","2","2017-05-23 14:01:11","0000-00-00 00:00:00"
"3","Monedas"," <li><a href=""coins"">Monedas</a></li>",,"coins","2","12","3","2017-05-09 10:03:45","0000-00-00 00:00:00"
"4","Eventos"," <li><a href=""events"">Eventos</a></li>",,"events","3","16","1","2017-05-09 10:03:45","0000-00-00 00:00:00"
"5","Ver Eventos"," <li><a href=""investments"">Ver Eventos</a></li>",,"investments","3","16","2","2017-05-09 10:03:45","0000-00-00 00:00:00"
"6","Inscribir"," <li><a href=""events/inscription"">Inscribir</a></li>",,"events/inscription","3","17","3","2017-05-09 10:03:45","0000-00-00 00:00:00"
"7","Contratos"," <li><a href=""contracts"">Contratos</a></li>",,"contracts","3","18","4","2017-05-09 10:03:45","0000-00-00 00:00:00"
"8","Pagos"," <li><a href=""payments"">Pagos</a></li>",,"payments","3","19","5","2017-05-09 10:03:45","0000-00-00 00:00:00"
"9","Perfiles","<li><a href=""profile"">Perfiles</a></li>",,"profile","4","2","1","2017-05-05 16:59:47","0000-00-00 00:00:00"
"10","Usuarios","<li><a href=""users"">Usuarios</a></li>",,"users","4","3","2","2017-05-05 16:59:55","0000-00-00 00:00:00"
"11","Asociaciones"," <li><a href=""relate_users"">Acciones</a></li>",,"relate_users","4","13","3","2017-05-23 14:01:11","0000-00-00 00:00:00"
"12","Grupos de Usuarios"," <li><a href=""user_groups"">Grupos de Inversionistas</a></li>",,"user_groups","4","15","4","2017-05-23 14:01:11","0000-00-00 00:00:00"
"13","Menús"," <li><a href=""menus"">Menús</a></li>",,"menus","5","5","1","2017-05-05 17:00:18","0000-00-00 00:00:00"
"14","Submenús"," <li><a href=""submenus"">Submenús</a></li>",,"submenus","5","6","2","2017-05-18 13:19:53","0000-00-00 00:00:00"
"15","Acciones"," <li><a href=""actions"">Acciones</a></li>",,"actions","5","7","3","2017-05-23 14:01:11","0000-00-00 00:00:00"
